City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Des,Date
59,Pangai,TO,-19.8,-174.35,81.57,79,45,19.6,scattered clouds,2021-03-28 16:09:28
60,Port-Gentil,GA,-0.7193,8.7815,82.4,78,40,11.5,light rain,2021-03-28 16:09:28
61,Nelspruit,ZA,-25.4745,30.9703,69.8,60,75,6.91,broken clouds,2021-03-28 16:09:28
62,Makakilo City,US,21.3469,-158.0858,73.4,68,1,5.75,clear sky,2021-03-28 16:09:29
63,Kutum,SD,14.2,24.6667,76.17,12,4,17.65,clear sky,2021-03-28 16:09:29
64,Moree,AU,-29.4667,149.85,60.8,82,0,5.7,clear sky,2021-03-28 16:09:29
65,Filadelfia,US,39.9523,-75.1638,60.01,94,90,10.36,overcast clouds,2021-03-28 16:05:23
66,Baturaja,ID,-4.1333,104.1667,75.06,97,40,2.48,scattered clouds,2021-03-28 16:09:29
67,Bengkulu,ID,-3.8004,102.2655,78.91,86,97,3.65,light rain,2021-03-28 16:09:03
68,Coahuayana,MX,18.7333,-103.6833,78.8,38,20,3.78,few clouds,2021-03-28 16:09:30
69,Yellowknife,CA,62.456,-114.3525,15.01,62,75,12.66,broken clouds,2021-03-28 16:07:22
70,San Andres,CO,12.5847,-81.7006,84.2,65,20,12.66,few clouds,2021-03-28 16:09:30
71,Ancud,CL,-41.8697,-73.8203,64.4,68,20,14.97,few clouds,2021-03-28 16:09:30
72,Lebu,CL,-37.6167,-73.65,63.3,65,5,15.82,clear sky,2021-03-28 16:09:31
73,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,69,1,9.22,clear sky,2021-03-28 16:09:31
74,Tadine,NC,-21.55,167.8833,75.97,88,7,9.46,clear sky,2021-03-28 16:09:31
75,Wajid,SO,3.8093,43.2471,92.79,22,100,7.56,overcast clouds,2021-03-28 16:09:31
76,Kodiak,US,57.79,-152.4072,35.6,32,1,8.05,clear sky,2021-03-28 16:09:31
77,Esperance,AU,-33.8667,121.9,68.0,83,0,8.05,clear sky,2021-03-28 16:08:48
78,Hobart,AU,-42.8794,147.3294,55.4,50,75,12.66,broken clouds,2021-03-28 16:09:32
79,Ponta Do Sol,PT,32.6667,-17.1,68.0,64,20,11.5,few clouds,2021-03-28 16:09:02
80,Nikolskoye,RU,59.7035,30.7861,45.0,70,0,8.95,light rain,2021-03-28 16:09:05
81,Iqaluit,CA,63.7506,-68.5145,10.4,72,90,19.57,overcast clouds,2021-03-28 16:09:32
82,Luderitz,NA,-26.6481,15.1594,67.57,68,5,8.43,clear sky,2021-03-28 16:09:32
83,Nemuro,JP,43.3236,145.575,39.94,97,100,30.33,overcast clouds,2021-03-28 16:09:33
84,Upington,ZA,-28.4478,21.2561,86.0,17,0,3.44,clear sky,2021-03-28 16:09:33
85,Saint-Philippe,RE,-21.3585,55.7679,80.6,78,40,6.91,scattered clouds,2021-03-28 16:08:52
86,Roald,NO,62.5833,6.1333,44.6,76,75,23.02,broken clouds,2021-03-28 16:09:33
87,Comodoro Rivadavia,AR,-45.8667,-67.5,66.2,59,0,8.05,clear sky,2021-03-28 16:09:20
88,Port-Cartier,CA,50.0334,-66.8654,28.99,74,100,6.91,overcast clouds,2021-03-28 16:09:33
89,Butaritari,KI,3.0707,172.7902,80.46,80,23,11.79,light rain,2021-03-28 16:09:34
90,Norman Wells,CA,65.282,-126.8329,-4.0,71,75,18.41,snow,2021-03-28 16:08:58
91,Piacabucu,BR,-10.4056,-36.4344,83.1,67,45,9.73,scattered clouds,2021-03-28 16:09:34
92,Faya,SA,18.3851,42.4509,71.6,59,0,9.22,clear sky,2021-03-28 16:09:34
93,Aasiaat,GL,68.7098,-52.8699,-17.77,73,18,11.34,few clouds,2021-03-28 16:09:35
94,Bambous Virieux,MU,-20.3428,57.7575,81.0,83,40,0.29,scattered clouds,2021-03-28 16:08:21
95,Dikson,RU,73.5069,80.5464,-23.39,100,30,6.78,scattered clouds,2021-03-28 16:08:39
96,Slave Lake,CA,55.2834,-114.769,44.6,61,20,14.97,few clouds,2021-03-28 16:09:35
97,Mauguio,FR,43.6181,4.0074,66.2,48,0,9.22,clear sky,2021-03-28 16:09:35
98,Galle,LK,6.0367,80.217,76.44,81,98,7.27,overcast clouds,2021-03-28 16:09:35
99,Coruripe,BR,-10.1256,-36.1756,82.13,70,54,9.48,broken clouds,2021-03-28 16:09:36
100,Waipawa,NZ,-41.4122,175.5153,62.6,94,90,17.27,moderate rain,2021-03-28 16:09:16
101,Nishihara,JP,26.1842,127.7558,71.6,94,75,3.42,broken clouds,2021-03-28 16:09:36
102,Georgetown,MY,5.4112,100.3354,80.6,89,40,8.05,scattered clouds,2021-03-28 16:09:03
103,New Norfolk,AU,-42.7826,147.0587,55.0,65,60,1.99,broken clouds,2021-03-28 16:09:36
104,La Asuncion,VE,11.0333,-63.8628,79.79,74,92,14.54,overcast clouds,2021-03-28 16:09:37
105,Atuona,PF,-9.8,-139.0333,81.1,70,100,18.21,overcast clouds,2021-03-28 16:08:47
106,Khatanga,RU,71.9667,102.5,-1.48,98,99,6.91,overcast clouds,2021-03-28 16:09:37
107,Port Hardy,CA,50.6996,-127.4199,39.2,93,90,5.75,light snow,2021-03-28 16:09:37
108,Talnakh,RU,69.4865,88.3972,-10.01,96,50,2.68,scattered clouds,2021-03-28 16:07:02
109,Vestmannaeyjar,IS,63.4427,-20.2734,32.0,86,40,4.61,scattered clouds,2021-03-28 16:09:37
110,Hermanus,ZA,-34.4187,19.2345,70.0,67,100,5.99,overcast clouds,2021-03-28 16:09:38
111,Yulara,AU,-25.2406,130.9889,77.0,53,5,9.22,clear sky,2021-03-28 16:09:38
112,Zyryanka,RU,65.75,150.85,-9.06,99,99,0.27,overcast clouds,2021-03-28 16:09:38
113,Saint-Augustin,CA,51.226,-58.6502,21.38,57,52,5.86,broken clouds,2021-03-28 16:09:38
114,Svetlogorsk,BY,52.6333,29.7333,41.81,91,100,10.51,overcast clouds,2021-03-28 16:09:39
115,Rognan,NO,67.0953,15.3878,42.8,49,75,13.8,broken clouds,2021-03-28 16:09:39
116,Zachepylivka,UA,49.1939,35.2394,48.15,51,16,5.93,few clouds,2021-03-28 16:09:39
117,Linhares,BR,-19.3911,-40.0722,92.61,43,0,3.31,clear sky,2021-03-28 16:05:17
118,Camacha,PT,33.0833,-16.3333,66.2,72,40,8.05,scattered clouds,2021-03-28 16:09:39
119,Cap Malheureux,MU,-19.9842,57.6142,80.01,75,11,0.89,few clouds,2021-03-28 16:09:40
120,Lagoa,PT,39.05,-27.9833,59.16,82,100,20.38,overcast clouds,2021-03-28 16:09:40
121,Husavik,IS,66.0449,-17.3389,28.4,93,90,11.5,light snow,2021-03-28 16:09:40
122,Gamba,GA,-2.65,10.0,80.8,74,84,8.37,broken clouds,2021-03-28 16:09:41
123,Provideniya,RU,64.3833,-173.3,2.95,95,100,23.78,snow,2021-03-28 16:09:41
124,Cape Coast,GH,5.1053,-1.2466,83.86,71,17,13.04,few clouds,2021-03-28 16:09:41
125,Tiksi,RU,71.6872,128.8694,2.28,99,100,1.01,overcast clouds,2021-03-28 16:08:48
126,Bredasdorp,ZA,-34.5322,20.0403,68.0,64,100,20.71,overcast clouds,2021-03-28 16:09:41
127,Kavieng,PG,-2.5744,150.7967,82.85,75,79,14.5,broken clouds,2021-03-28 16:09:42
128,Flinders,AU,-34.5833,150.8552,60.01,84,71,1.01,broken clouds,2021-03-28 16:09:26
129,Victoria,HK,22.2855,114.1577,77.0,87,3,7.07,clear sky,2021-03-28 16:08:15
130,San Cristobal,VE,7.7669,-72.225,82.4,57,75,11.5,broken clouds,2021-03-28 16:09:42
131,Portland,US,45.5234,-122.6762,48.2,71,75,6.91,broken clouds,2021-03-28 16:04:52
132,Shenkursk,RU,62.1091,42.896,33.35,81,66,7.63,broken clouds,2021-03-28 16:09:42
133,San Patricio,US,28.017,-97.5169,66.0,72,90,23.02,overcast clouds,2021-03-28 16:08:35
134,Chokurdakh,RU,70.6333,147.9167,-17.18,100,92,3.62,overcast clouds,2021-03-28 16:09:43
135,Praia,CV,14.9215,-23.5087,73.4,60,20,27.63,few clouds,2021-03-28 16:09:43
